report_id,report_text,sif_label,life_saving_rule,activity,location,barrier_failure,source,source_url,industry,incident_type,date,data_origin
NON-SIF-092,"During ppe inspection at the chemical store entrance, a worker was reminded to wear gloves while handling sealed cleaning containers. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,PPE Compliance,PPE inspection,Chemical store entrance,PPE inspection and replacement,Internal Test Dataset,,Warehousing,Near Miss,2026-07-03,internal_test
NON-SIF-025,"During housekeeping inspection at the warehouse aisle, a small amount of cardboard packaging was found in a designated aisle and was removed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Housekeeping,Housekeeping inspection,Warehouse aisle,Routine inspection and timely removal of obstructions,Internal Test Dataset,,Manufacturing,Low-risk observation,2025-07-17,internal_test
NON-SIF-060,"During near-miss observation at the parking area, a delivery vehicle stopped before a marked crossing; no person entered the vehicle path. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,Traffic Awareness,Near-miss observation,Parking area,Speed awareness and pedestrian vigilance,Internal Test Dataset,,Construction,Near Miss,2026-05-08,internal_test
NON-SIF-003,"During spill cleanup at the break room, a small water spill was identified and cleaned immediately with no exposure or slip injury. The item was recorded for normal follow-up.",Non-SIF,Spill Management,Spill cleanup,Break room,"Prompt cleanup, warning signage, and waste disposal",Internal Test Dataset,,Office,Low-risk observation,2025-04-22,internal_test
NON-SIF-021,"During small spill response at the loading dock, a minor non-hazardous oil drip was contained and cleaned before anyone was exposed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Spill Management,Small spill response,Loading dock,Prompt cleanup and inspection,Internal Test Dataset,,Office,Low-risk observation,2026-07-15,internal_test
SIF-070,"During pressure testing / line breaking at the pressure-test area, a worker stood in the line of fire during pressure testing without hose restraint. The task was stopped and the area was secured.",SIF,Pressure Systems,Pressure testing / line breaking,Pressure-test area,"Depressurization, pressure relief, rated equipment, and hose restraint",Internal Test Dataset,,Warehousing,SIF precursor,2026-01-23,internal_test
NON-SIF-017,"During low-risk observation at the storage area, materials were stacked unevenly on a low shelf and were restacked before use. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Safe Work Observation,Low-risk observation,Storage area,"Observation, feedback, and routine follow-up",Internal Test Dataset,,Utilities,Low-risk observation,2025-03-18,internal_test
SIF-068,"During excavation work at the utility trench, a worker entered an unsupported excavation exceeding safe depth. The deviation had potential for fatal or life-altering harm.",SIF,Excavation Safety,Excavation work,Utility trench,"Competent-person inspection and shoring, shielding, or sloping",Internal Test Dataset,,Mining,SIF precursor,2026-01-04,internal_test
NON-SIF-032,"During ppe inspection at the chemical store entrance, a worker was reminded to wear gloves while handling sealed cleaning containers. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,PPE Compliance,PPE inspection,Chemical store entrance,PPE inspection and replacement,Internal Test Dataset,,Warehousing,Near Miss,2024-10-13,internal_test
NON-SIF-059,"During low-risk observation at the office work area, a monitor height was adjusted after an employee reported minor discomfort. The item was recorded for normal follow-up.",Non-SIF,Ergonomics,Low-risk observation,Office work area,Workstation adjustment and reporting,Internal Test Dataset,,Utilities,Low-risk observation,2024-03-25,internal_test
NON-SIF-024,"During near-miss observation at the parking area, a delivery vehicle stopped before a marked crossing; no person entered the vehicle path. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,Traffic Awareness,Near-miss observation,Parking area,Speed awareness and pedestrian vigilance,Internal Test Dataset,,Construction,Near Miss,2024-01-06,internal_test
NON-SIF-088,"During documentation review at the maintenance office, a routine inspection checklist was missing a supervisor signature. The condition did not involve high-energy or life-threatening hazards.",Non-SIF,Documentation Control,Documentation review,Maintenance office,"Current forms, record review, and supervisor approval",Internal Test Dataset,,Food Processing,Near Miss,2025-04-19,internal_test
NON-SIF-010,"During documentation review at the control room, a shift log contained an incomplete equipment-status entry and was corrected. The observation was resolved through routine corrective action.",Non-SIF,Documentation Control,Documentation review,Control room,Record completion and shift handover,Internal Test Dataset,,Food Processing,Near Miss,2025-04-19,internal_test
SIF-044,"During excavation work at the utility trench, a worker entered an unsupported excavation exceeding safe depth. The deviation had potential for fatal or life-altering harm.",SIF,Excavation Safety,Excavation work,Utility trench,"Competent-person inspection and shoring, shielding, or sloping",Internal Test Dataset,,Mining,SIF precursor,2024-09-15,internal_test
NON-SIF-062,"During ppe inspection at the workshop entrance, an employee was reminded to replace worn safety glasses before starting low-risk work. The observation was resolved through routine corrective action.",Non-SIF,PPE Compliance,PPE inspection,Workshop entrance,"PPE availability, inspection, and supervisor reminder",Internal Test Dataset,,Warehousing,Near Miss,2024-10-19,internal_test
NON-SIF-013,"During housekeeping inspection at the warehouse aisle, a small amount of cardboard packaging was found in a designated aisle and was removed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Housekeeping,Housekeeping inspection,Warehouse aisle,Routine inspection and timely removal of obstructions,Internal Test Dataset,,Manufacturing,Low-risk observation,2026-02-28,internal_test
NON-SIF-034,"During documentation review at the control room, a shift log contained an incomplete equipment-status entry and was corrected. The observation was resolved through routine corrective action.",Non-SIF,Documentation Control,Documentation review,Control room,Record completion and shift handover,Internal Test Dataset,,Food Processing,Near Miss,2025-05-26,internal_test
NON-SIF-006,"During near-miss observation at the pedestrian walkway, a pedestrian stepped briefly outside a marked walkway; no vehicle was nearby and no impact potential existed. The observation was resolved through routine corrective action.",Non-SIF,Traffic Awareness,Near-miss observation,Pedestrian walkway,Pedestrian awareness and designated walkways,Internal Test Dataset,,Construction,Near Miss,2025-09-17,internal_test
SIF-074,"During electrical maintenance at the motor control center, a worker began work on equipment that had not been confirmed de-energized. The task was stopped and the area was secured.",SIF,Electrical Safety,Electrical maintenance,Motor control center,"De-energization, LOTO, test-before-touch, PPE, and insulated tools",Internal Test Dataset,,Manufacturing,SIF precursor,2024-03-24,internal_test
NON-SIF-053,"During low-risk observation at the storage area, materials were stacked unevenly on a low shelf and were restacked before use. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Safe Work Observation,Low-risk observation,Storage area,"Observation, feedback, and routine follow-up",Internal Test Dataset,,Utilities,Low-risk observation,2024-09-20,internal_test
NON-SIF-045,"During small spill response at the loading dock, a minor non-hazardous oil drip was contained and cleaned before anyone was exposed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Spill Management,Small spill response,Loading dock,Prompt cleanup and inspection,Internal Test Dataset,,Office,Low-risk observation,2025-06-02,internal_test
NON-SIF-075,"During spill cleanup at the break room, a small water spill was identified and cleaned immediately with no exposure or slip injury. The item was recorded for normal follow-up.",Non-SIF,Spill Management,Spill cleanup,Break room,"Prompt cleanup, warning signage, and waste disposal",Internal Test Dataset,,Office,Low-risk observation,2026-01-25,internal_test
NON-SIF-085,"During housekeeping inspection at the warehouse aisle, a small amount of cardboard packaging was found in a designated aisle and was removed. No injury, exposure, equipment damage, or credible fatal potential was identified.",Non-SIF,Housekeeping,Housekeeping inspection,Warehouse aisle,Routine inspection and timely removal of obstructions,Internal Test Dataset,,Manufacturing,Low-risk observation,2026-02-19,internal_test
SIF-023,"During process operation at the reactor area, a worker continued process operation after a critical pressure or temperature alarm. The event was reported for immediate corrective action.",SIF,Process Safety,Process operation,Reactor area,"Operating procedure, alarm response, management of change, and relief protection",Internal Test Dataset,,Utilities,Potential SIF,2024-12-12,internal_test
SIF-063,"During equipment maintenance at the conveyor maintenance area, a worker started maintenance before all energy sources were isolated and verified. The event was reported for immediate corrective action.",SIF,Energy Isolation,Equipment maintenance,Conveyor maintenance area,"LOTO, isolation verification, and zero-energy test",Internal Test Dataset,,Utilities,Potential SIF,2024-04-21,internal_test
